매장이름,시도정보,시군구정보,매장주소
석산점,경상남도,양산시,경상남도 양산시 동면 금오7길 24
문현1동점,부산광역시,남구,"부산광역시 남구 고동골로 66, 1층(문현동)"
양정1호점,부산광역시,부산진구,부산광역시 부산진구 양지로 5번길 20(양정동)
통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21
상동점,경상남도,거제시,경남 거제시 거제중앙로3길 14-2(상동동)
반송2호점,부산광역시,해운대구,"부산광역시 해운대구 아랫반송로 51, 1층(반송동)"
소사벌점,경기도,평택시,경기도 평택시 비전동 1053
동탄중앙점,경기도,화성시,경기도 화성시 동탄산척로 2나길 6-7 (산척동)
항구영일대점,경상북도,포항시,경상북도 포항시 북구 아호로 3
반야월점,대구광역시,동구,대구광역시 동구 안심로41길 47
테크노폴리스점,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 326-35
비전점,경기도,평택시,경기도 평택시 중앙로235 (비전동)
능곡점,경기도,시흥시,경기도 시흥시 능곡중앙로77
비산점,경기도,안양시,경기도 안양시 동안구 평촌대로408 (비산동)
부곡점,경기도,의왕시,경기도 의왕시 삼동 150-16
홍성점,충청남도,홍성군,충남 홍성군 홍성읍 충절로1053번길 41
율량사천점,충청북도,청주시,충북 청주시 청원구 율량로190번길19
증평점,충청북도,증평군,충북 증평군 증평읍 문화로83
송강테크로점,대전시,유성구,대전시 유성구 구즉로48번길10
몰운대롯데캐슬점,부산광역시,사하구,"부산광역시 사하구 다대낙조2길 100, 101호(다대동,롯데캐슬몰운대아파트부상가)"
옥포돌미점,대구시,달성군,대구시 달성군 옥포면 돌미상업로2길 26
영양점,경상북도,영양군,경상북도 영양군 영양읍 중앙로 111
대도점,경상북도,포항시,경상북도 포항시 남구 대도동 163-1
대합공단점,경상남도,창녕군,경남 창녕군 대합면 대합산업단지로 119-15
배곧점,경기도,시훙시,경기도 시훙시 배곧4로32-27
광주점,경기도,광주시,경기도 광주시 송정동111-1
신하점,경기도,이천시,경기도 이천시 부발읍 신하리 432-15
관양점,경기도,안양시,경기도 안양시 동안구 관양동 1429-12
중동점,경기도,부천시,경기도 부천시 원미구 부흥로 272번길 22
조암점,경기도,화성시,경기도 화성시 장안면 기아자동차로 789 103호
정왕점,경기도,시흥시,경기도 시흥시 정왕동 1193-14
일죽점,경기도,안성시,경기도 안성시 일죽면 송천리 18
인계점,경기도,수원시,경기도 수원시 팔달구 인계동 1008-9
이천사동점,경기도,이천시,경기도 이천시 대월면 사동리 182-2
은행점,경기도,시흥시,"경기도 시흥시 시흥대로 1074번길 28,106호(은행동, 녹원아파트 상가동)"
월곶점,경기도,시흥시,경기도 시흥시 월곶동 995
원곡점,경기도,안성시,경기도 안성시 원곡면 만세로 1058
우만점,경기도,수원시,경기도 수원시 팔달 우만동 481-29
호법점,경기도,이천시,경기도 이천시 호법면 후안리 267-4
하안8점,경기도,광명시,경기도 광명시 하안동 260-2 8단지상가 104-2
하안12점,경기도,광명시,경기도 광명시 하안동 62-4  1층 3호
하안11점,경기도,광명시,경기도 광명시 하안동 305  10 단지상가  104
포일내손점,경기도,의왕시,경기도 의왕시 내손동652-15
포도원,경기도,안양시,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107
평촌5점,경기도,안양시,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110
태전점,경기도,광주시,경기도 광주시 태전동 688-1
철산점,경기도,광명시,경기도 광명시 철산동 240  주공13단지 상가동
철산2점,경기도,광명시,"경기도 광명시 연서로2번길 11, 1층 1호(철산동)"
천리점,경기도,용인시,경기도 용인시 이동면 천리 56-6
중앙대,경기도,안성시,경기도 안성시 대덕면 내리 682-3
안양중앙점,경기도,안양시,경기도 안양시 만안구 안양동 711-815
안양2점,경기도,안양시,경기도 안양시 만안구 안양동 873-162
안성점,경기도,안성시,경기도 안성시 도기 4길 9(도기동)
신흥산성점,경기도,성남시,경기도 성남시 수정구 수정남로 305번길11.103호
신천리점,경기도,시흥시,경기도 시흥시 호현로49번안길 1(대야동)
신갈점,경기도,용인시,경기도 용인시 기흥구 신구로 38 청솔학원
송내우성,경기도,부천시,경기도 부천시 소사구 송내동 336-15
소사점,경기도,부천시,"경기도 부천시 소사구 소사로202번길 27, 1층(소사본동)"
성포점,경기도,안산시,경기도 안산시 상록구 성포동 592-2
